drug_id,partner_id,gene_name,substrate,inducer,inhibitor
DB00690,BE0001032,ABCB1,0,0,1
DB00690,BE0003647,SLC22A2,0,0,1
DB00691,BE0001018,SLC15A1,1,0,0
DB00691,BE0001134,SLC15A2,1,0,0
DB00693,BE0001066,SLC22A6,1,0,1
DB00693,BE0000703,ABCB11,1,0,0
DB00693,BE0000785,ABCC1,1,0,0
DB00694,BE0001032,ABCB1,1,1,1
DB00694,BE0000785,ABCC1,1,0,1
DB00694,BE0003651,ABCC10,1,0,0
DB00694,BE0001069,ABCC2,0,0,1
DB00694,BE0003640,ABCC6,1,0,0
DB00694,BE0000703,ABCB11,1,0,0
DB00694,BE0001067,ABCG2,1,0,0
DB00695,BE0001066,SLC22A6,0,1,1
DB00695,BE0000106,SLC22A5,0,0,1
DB00695,BE0003645,SLC22A8,0,0,1
DB00695,BE0001069,ABCC2,0,0,1
DB00695,BE0003655,SLCO2A1,0,0,1
DB00695,BE0000879,SLC22A11,0,0,1
DB00696,BE0001032,ABCB1,0,0,1
DB00698,BE0001067,ABCG2,1,0,0
DB00698,BE0000703,ABCB11,1,0,0
DB00698,BE0001032,ABCB1,1,0,0
DB00698,BE0001069,ABCC2,0,0,0
DB00701,BE0001032,ABCB1,1,1,0
DB00701,BE0000785,ABCC1,0,0,1
DB00701,BE0001004,SLCO1B1,0,0,1
DB00703,BE0001066,SLC22A6,0,0,1
DB00709,BE0000785,ABCC1,0,0,1
DB00709,BE0001066,SLC22A6,1,0,0
DB00709,BE0001067,ABCG2,1,0,0
DB00709,BE0003648,SLC22A1,1,0,0
DB00709,BE0003647,SLC22A2,1,0,0
DB00709,BE0003650,SLC22A3,1,0,0
DB00709,BE0001032,ABCB1,1,0,0
DB00709,BE0001188,ABCC4,1,0,0
DB00709,BE0001061,ABCC3,1,0,0
DB00709,BE0001069,ABCC2,0,0,0
DB00712,BE0001188,ABCC4,0,0,1
DB00712,BE0001066,SLC22A6,0,0,1
DB00713,BE0001018,SLC15A1,0,0,1
DB00713,BE0001134,SLC15A2,0,0,1
DB00715,BE0001032,ABCB1,0,0,1
DB00717,BE0001032,ABCB1,0,0,1
DB00718,BE0001066,SLC22A6,1,0,1
DB00718,BE0001188,ABCC4,1,0,0
DB00718,BE0003639,ABCC5,1,0,0
DB00718,BE0003650,SLC22A3,1,0,0
DB00722,BE0001018,SLC15A1,1,0,1
DB00722,BE0001134,SLC15A2,1,0,0
DB00726,BE0001032,ABCB1,1,0,0
