UniProtId,Label,Gene_Name,hgnc_symbol
Q14549,reviewed,GBX1_HUMAN,GBX1
Q9Y5S2,reviewed,MRCKB_HUMAN,MRCKB
Q9H4B0,reviewed,OSGL1_HUMAN,OSGL1
Q07817,reviewed,B2CL1_HUMAN,B2CL1
A6NDL8,reviewed,O6C68_HUMAN,O6C68
O95379,reviewed,TFIP8_HUMAN,TFIP8
Q9NS26,reviewed,SPNXA_HUMAN,SPNXA
Q9NXN4,reviewed,GDAP2_HUMAN,GDAP2
Q14314,reviewed,FGL2_HUMAN,FGL2
Q15283,reviewed,RASA2_HUMAN,RASA2
Q8N8E3,reviewed,CE112_HUMAN,CE112
Q9H313,reviewed,TTYH1_HUMAN,TTYH1
Q1A5X7,reviewed,WHAL1_HUMAN,WHAL1
Q99805,reviewed,TM9S2_HUMAN,TM9S2
P24394,reviewed,IL4RA_HUMAN,IL4RA
Q9H3U1,reviewed,UN45A_HUMAN,UN45A
Q7RTY9,reviewed,PRS41_HUMAN,PRS41
Q9BYQ7,reviewed,KRA41_HUMAN,KRA41
P52597,reviewed,HNRPF_HUMAN,HNRPF
Q9H4B7,reviewed,TBB1_HUMAN,TBB1
P28676,reviewed,GRAN_HUMAN,GRAN
Q15306,reviewed,IRF4_HUMAN,IRF4
Q9BZI7,reviewed,REN3B_HUMAN,REN3B
Q9NP94,reviewed,S39A2_HUMAN,S39A2
Q8N8E2,reviewed,ZN513_HUMAN,ZN513
Q1A5X6,reviewed,IQCJ_HUMAN,IQCJ
O94810,reviewed,RGS11_HUMAN,RGS11
Q9UNK0,reviewed,STX8_HUMAN,STX8
Q9BV38,reviewed,WDR18_HUMAN,WDR18
Q96PS1,reviewed,FACOS_HUMAN,FACOS
Q9BYQ6,reviewed,KR411_HUMAN,KR411
P52594,reviewed,AGFG1_HUMAN,AGFG1
Q9H4B6,reviewed,SAV1_HUMAN,SAV1
Q14CZ7,reviewed,FAKD3_HUMAN,FAKD3
P50750,reviewed,CDK9_HUMAN,CDK9
P27701,reviewed,CD82_HUMAN,CD82
Q9NP95,reviewed,FGF20_HUMAN,FGF20
O94811,reviewed,TPPP_HUMAN,TPPP
Q99708,reviewed,CTIP_HUMAN,CTIP
Q96P70,reviewed,IPO9_HUMAN,IPO9
Q9BYQ9,reviewed,KRA48_HUMAN,KRA48
Q6ZSC3,reviewed,RBM43_HUMAN,RBM43
Q70HW3,reviewed,SAMC_HUMAN,SAMC
Q9Y5S1,reviewed,TRPV2_HUMAN,TRPV2
P18405,reviewed,S5A1_HUMAN,S5A1
Q07812,reviewed,BAX_HUMAN,BAX
Q96KC2,reviewed,ARL5B_HUMAN,ARL5B
Q6UWM9,reviewed,UD2A3_HUMAN,UD2A3
Q14CZ0,reviewed,HAPR1_HUMAN,HAPR1
Q9UM54,reviewed,MYO6_HUMAN,MYO6
A6NP11,reviewed,ZN716_HUMAN,ZN716
Q9UHB4,reviewed,NDOR1_HUMAN,NDOR1
Q9NS25,reviewed,SPNXB_HUMAN,SPNXB
Q9H6L5,reviewed,RETR1_HUMAN,RETR1
Q9UJW0,reviewed,DCTN4_HUMAN,DCTN4
A1XBS5,reviewed,CBAR1_HUMAN,CBAR1
Q8TD19,reviewed,NEK9_HUMAN,NEK9
O94812,reviewed,BAIP3_HUMAN,BAIP3
A6NEH8,reviewed,ZNAS2_HUMAN,ZNAS2
Q8IYW5,reviewed,RN168_HUMAN,RN168
Q96P71,reviewed,NECA3_HUMAN,NECA3
Q9BYQ8,reviewed,KRA49_HUMAN,KRA49
A2RU67,reviewed,F234B_HUMAN,F234B
Q9NUE0,reviewed,ZDH18_HUMAN,ZDH18
Q9NR09,reviewed,BIRC6_HUMAN,BIRC6
Q9H4B4,reviewed,PLK3_HUMAN,PLK3
O43318,reviewed,M3K7_HUMAN,M3K7
Q15303,reviewed,ERBB4_HUMAN,ERBB4
Q9H6L4,reviewed,ARMC7_HUMAN,ARMC7
Q6UXI7,reviewed,VITRN_HUMAN,VITRN
Q9UJW3,reviewed,DNM3L_HUMAN,DNM3L
Q9NP97,reviewed,DLRB1_HUMAN,DLRB1
O94813,reviewed,SLIT2_HUMAN,SLIT2
Q9UHX3,reviewed,AGRE2_HUMAN,AGRE2
P24390,reviewed,ERD21_HUMAN,ERD21
A0A1B0GVM5,reviewed,ETDC_HUMAN,ETDC
Q8IYW4,reviewed,ENTD1_HUMAN,ENTD1
A0A0U1RQF7,reviewed,DP2NB_HUMAN,DP2NB
Q16790,reviewed,CAH9_HUMAN,CAH9
Q14938,reviewed,NFIX_HUMAN,NFIX
O95372,reviewed,LYPA2_HUMAN,LYPA2
Q99558,reviewed,M3K14_HUMAN,M3K14
Q9UHB6,reviewed,LIMA1_HUMAN,LIMA1
Q9NS23,reviewed,RASF1_HUMAN,RASF1
Q9UJW2,reviewed,TINAG_HUMAN,TINAG
Q13233,reviewed,M3K1_HUMAN,M3K1
Q9NP98,reviewed,MYOZ1_HUMAN,MYOZ1
Q8TD17,reviewed,ZN398_HUMAN,ZN398
Q9UNK4,reviewed,PA2GD_HUMAN,PA2GD
P61587,reviewed,RND3_HUMAN,RND3
Q99705,reviewed,MCHR1_HUMAN,MCHR1
A0A1B0GVM6,reviewed,CK097_HUMAN,CK097
Q2Y0W8,reviewed,S4A8_HUMAN,S4A8
Q8IW75,reviewed,SPA12_HUMAN,SPA12
Q9ULI4,reviewed,KI26A_HUMAN,KI26A
Q8WVZ9,reviewed,KBTB7_HUMAN,KBTB7
Q15477,reviewed,SKI2_HUMAN,SKI2
A6NI47,reviewed,POTEM_HUMAN,POTEM
O95373,reviewed,IPO7_HUMAN,IPO7
Q8IZQ1,reviewed,WDFY3_HUMAN,WDFY3
A5D8W1,reviewed,CFA69_HUMAN,CFA69
Q9H210,reviewed,OR2D2_HUMAN,OR2D2
Q9UHB7,reviewed,AFF4_HUMAN,AFF4
Q9H6L2,reviewed,TM231_HUMAN,TM231
Q13232,reviewed,NDK3_HUMAN,NDK3
Q9NP99,reviewed,TREM1_HUMAN,TREM1
Q9NX20,reviewed,RM16_HUMAN,RM16
Q8TD16,reviewed,BICD2_HUMAN,BICD2
P61586,reviewed,RHOA_HUMAN,RHOA
Q99704,reviewed,DOK1_HUMAN,DOK1
Q9UHX1,reviewed,PUF60_HUMAN,PUF60
P33681,reviewed,CD80_HUMAN,CD80
B4DU55,reviewed,ZN879_HUMAN,ZN879
P22090,reviewed,RS4Y1_HUMAN,RS4Y1
P04844,reviewed,RPN2_HUMAN,RPN2
Q8IYW2,reviewed,CFA46_HUMAN,CFA46
Q7RTY3,reviewed,PRS45_HUMAN,PRS45
Q49AA0,reviewed,ZFP69_HUMAN,ZFP69
Q9P2V4,reviewed,LRIT1_HUMAN,LRIT1
Q6UWM5,reviewed,GPRL1_HUMAN,GPRL1
Q9H211,reviewed,CDT1_HUMAN,CDT1
O75771,reviewed,RA51D_HUMAN,RA51D
Q13231,reviewed,CHIT1_HUMAN,CHIT1
Q99707,reviewed,METH_HUMAN,METH
Q9H7N4,reviewed,SFR19_HUMAN,SFR19
P04843,reviewed,RPN1_HUMAN,RPN1
Q7RTY0,reviewed,MOT13_HUMAN,MOT13
Q6KF10,reviewed,GDF6_HUMAN,GDF6
Q32M84,reviewed,BTBDG_HUMAN,BTBDG
Q15475,reviewed,SIX1_HUMAN,SIX1
Q96EN8,reviewed,MOCOS_HUMAN,MOCOS
Q9H4B8,reviewed,DPEP3_HUMAN,DPEP3
O95371,reviewed,OR2C1_HUMAN,OR2C1
P83876,reviewed,TXN4A_HUMAN,TXN4A
Q9UHB9,reviewed,SRP68_HUMAN,SRP68
Q9UJW7,reviewed,ZN229_HUMAN,ZN229
Q96GL9,reviewed,F163A_HUMAN,F163A
A2RUH7,reviewed,MBPHL_HUMAN,MBPHL
O94817,reviewed,ATG12_HUMAN,ATG12
Q9UNK9,reviewed,ANGE1_HUMAN,ANGE1
Q99706,reviewed,KI2L4_HUMAN,KI2L4
Q02297,reviewed,NRG1_HUMAN,NRG1
P78559,reviewed,MAP1A_HUMAN,MAP1A
Q96PS8,reviewed,AQP10_HUMAN,AQP10
Q5T5F5,reviewed,A4AS1_HUMAN,A4AS1
Q96LW7,reviewed,CAR19_HUMAN,CAR19
Q9NZ94,reviewed,NLGN3_HUMAN,NLGN3
P14138,reviewed,EDN3_HUMAN,EDN3
Q9ULI1,reviewed,NWD2_HUMAN,NWD2
Q6ZMQ8,reviewed,LMTK1_HUMAN,LMTK1
Q7RTY1,reviewed,MOT9_HUMAN,MOT9
Q8NAB2,reviewed,KBTB3_HUMAN,KBTB3
Q96EN9,reviewed,REX1B_HUMAN,REX1B
Q6UWM7,reviewed,LCTL_HUMAN,LCTL
O95376,reviewed,ARI2_HUMAN,ARI2
Q9H213,reviewed,MAGH1_HUMAN,MAGH1
Q8N6T7,reviewed,SIR6_HUMAN,SIR6
Q13237,reviewed,KGP2_HUMAN,KGP2
O15360,reviewed,FANCA_HUMAN,FANCA
O94818,reviewed,NOL4_HUMAN,NOL4
Q7Z2W9,reviewed,RM21_HUMAN,RM21
P78556,reviewed,CCL20_HUMAN,CCL20
Q9UF56,reviewed,FXL17_HUMAN,FXL17
Q96LW4,reviewed,PRIPO_HUMAN,PRIPO
Q9ULI0,reviewed,ATD2B_HUMAN,ATD2B
Q9Y5S8,reviewed,NOX1_HUMAN,NOX1
P0CJ85,reviewed,DU4L2_HUMAN,DU4L2
O95377,reviewed,CXB5_HUMAN,CXB5
Q4G0P3,reviewed,HYDIN_HUMAN,HYDIN
Q8NG11,reviewed,TSN14_HUMAN,TSN14
Q8N6T0,reviewed,TO6BL_HUMAN,TO6BL
Q2VIQ3,reviewed,KIF4B_HUMAN,KIF4B
Q96CG8,reviewed,CTHR1_HUMAN,CTHR1
Q9UJW9,reviewed,SRTD3_HUMAN,SRTD3
Q9NX24,reviewed,NHP2_HUMAN,NHP2
O94819,reviewed,KBTBB_HUMAN,KBTBB
Q99700,reviewed,ATX2_HUMAN,ATX2
P58340,reviewed,MLF1_HUMAN,MLF1
Q8IW70,reviewed,T151B_HUMAN,T151B
Q9ULI3,reviewed,HEG1_HUMAN,HEG1
Q7RTY7,reviewed,OVCH1_HUMAN,OVCH1
Q86UY8,reviewed,NT5D3_HUMAN,NT5D3
Q8N568,reviewed,DCLK2_HUMAN,DCLK2
Q9NYH9,reviewed,UTP6_HUMAN,UTP6
Q9UIB8,reviewed,SLAF5_HUMAN,SLAF5
Q9Y5S9,reviewed,RBM8A_HUMAN,RBM8A
P0CJ86,reviewed,DU4L3_HUMAN,DU4L3
P0DMN0,reviewed,ST1A4_HUMAN,ST1A4
Q9UQN3,reviewed,CHM2B_HUMAN,CHM2B
Q9UJW8,reviewed,ZN180_HUMAN,ZN180
Q16143,reviewed,SYUB_HUMAN,SYUB
Q15172,reviewed,2A5A_HUMAN,2A5A
Q8NES8,reviewed,DB124_HUMAN,DB124
Q96LW2,reviewed,KS6R_HUMAN,KS6R
Q9ULI2,reviewed,RIMKB_HUMAN,RIMKB
Q8WVZ7,reviewed,RN133_HUMAN,RN133
P0CJ87,reviewed,DU4L4_HUMAN,DU4L4
O75410,reviewed,TACC1_HUMAN,TACC1
Q15173,reviewed,2A5B_HUMAN,2A5B
Q9HAQ2,reviewed,KIF9_HUMAN,KIF9
Q8TD10,reviewed,MIPO1_HUMAN,MIPO1
A6NF36,reviewed,CC182_HUMAN,CC182
Q5W064,reviewed,LIPJ_HUMAN,LIPJ
Q7RTY5,reviewed,PRS48_HUMAN,PRS48
Q2T9J0,reviewed,TYSD1_HUMAN,TYSD1
A6NMD0,reviewed,IFM10_HUMAN,IFM10
Q9NR00,reviewed,TCIM_HUMAN,TCIM
Q8TEA1,reviewed,NSUN6_HUMAN,NSUN6
P09919,reviewed,CSF3_HUMAN,CSF3
Q8N6T3,reviewed,ARFG1_HUMAN,ARFG1
Q8IXT2,reviewed,DMRTD_HUMAN,DMRTD
P56693,reviewed,SOX10_HUMAN,SOX10
Q8WZ19,reviewed,BACD1_HUMAN,BACD1
Q15170,reviewed,TCAL1_HUMAN,TCAL1
Q4G148,reviewed,GXLT1_HUMAN,GXLT1
O95876,reviewed,FRITZ_HUMAN,FRITZ
P78552,reviewed,I13R1_HUMAN,I13R1
A8MXD5,reviewed,GRCR1_HUMAN,GRCR1
Q8WVZ1,reviewed,ZDH19_HUMAN,ZDH19
Q8N565,reviewed,MREG_HUMAN,MREG
Q7Z3G6,reviewed,PRIC2_HUMAN,PRIC2
Q8IXT1,reviewed,DDIAS_HUMAN,DDIAS
Q9NS28,reviewed,RGS18_HUMAN,RGS18
Q6P461,reviewed,ACSM6_HUMAN,ACSM6
A0A0G2JMD5,reviewed,PRA33_HUMAN,PRA33
Q5SRN2,reviewed,TSBP1_HUMAN,TSBP1
Q96LW1,reviewed,Z354B_HUMAN,Z354B
A6NF34,reviewed,ANTRL_HUMAN,ANTRL
Q86W10,reviewed,CP4Z1_HUMAN,CP4Z1
Q9H910,reviewed,JUPI2_HUMAN,JUPI2
O95006,reviewed,OR2F2_HUMAN,OR2F2
Q96L33,reviewed,RHOV_HUMAN,RHOV
Q8N1F8,reviewed,S11IP_HUMAN,S11IP
Q96FB5,reviewed,MT25B_HUMAN,MT25B
A6NMD2,reviewed,GOG8J_HUMAN,GOG8J
O00512,reviewed,BCL9_HUMAN,BCL9
Q8TEA7,reviewed,TBCK_HUMAN,TBCK
Q8N8U9,reviewed,BMPER_HUMAN,BMPER
O95870,reviewed,ABHGA_HUMAN,ABHGA
Q8N9Z0,reviewed,ZN610_HUMAN,ZN610
P51460,reviewed,INSL3_HUMAN,INSL3
Q86W11,reviewed,ZSC30_HUMAN,ZSC30
O95007,reviewed,OR6B1_HUMAN,OR6B1
Q5JSL3,reviewed,DOC11_HUMAN,DOC11
Q8N567,reviewed,ZCHC9_HUMAN,ZCHC9
Q3ZCN5,reviewed,OTOGL_HUMAN,OTOGL
O60548,reviewed,FOXD2_HUMAN,FOXD2
O75414,reviewed,NDK6_HUMAN,NDK6
A8MPS7,reviewed,YDJC_HUMAN,YDJC
Q8WW33,reviewed,GTSF1_HUMAN,GTSF1
O95873,reviewed,CF047_HUMAN,CF047
P25713,reviewed,MT3_HUMAN,MT3
Q9HBZ2,reviewed,ARNT2_HUMAN,ARNT2
Q14934,reviewed,NFAC4_HUMAN,NFAC4
O75417,reviewed,DPOLQ_HUMAN,DPOLQ
Q86YH6,reviewed,DLP1_HUMAN,DLP1
Q8WW32,reviewed,HMGB4_HUMAN,HMGB4
Q9H1A7,reviewed,RPB1C_HUMAN,RPB1C
O95872,reviewed,GPAN1_HUMAN,GPAN1
Q8N9Z2,reviewed,CC71L_HUMAN,CC71L
O75995,reviewed,SASH3_HUMAN,SASH3
Q6P2C0,reviewed,WDR93_HUMAN,WDR93
Q86SE5,reviewed,RALYL_HUMAN,RALYL
P11279,reviewed,LAMP1_HUMAN,LAMP1
O00515,reviewed,LAD1_HUMAN,LAD1
Q53G44,reviewed,IF44L_HUMAN,IF44L
P09912,reviewed,IFI6_HUMAN,IFI6
Q8IXT5,reviewed,RB12B_HUMAN,RB12B
Q6UXI9,reviewed,NPNT_HUMAN,NPNT
P56696,reviewed,KCNQ4_HUMAN,KCNQ4
O00748,reviewed,EST2_HUMAN,EST2
A4D2B0,reviewed,MBLC1_HUMAN,MBLC1
Q8N612,reviewed,FHI1B_HUMAN,FHI1B
Q8NES3,reviewed,LFNG_HUMAN,LFNG
A8MWK0,reviewed,FS2P1_HUMAN,FS2P1
P63010,reviewed,AP2B1_HUMAN,AP2B1
P86481,reviewed,PR20B_HUMAN,PR20B
O75419,reviewed,CDC45_HUMAN,CDC45
A6NHQ2,reviewed,FBLL1_HUMAN,FBLL1
P09913,reviewed,IFIT2_HUMAN,IFIT2
Q96AW1,reviewed,VOPP1_HUMAN,VOPP1
Q96CG3,reviewed,TIFA_HUMAN,TIFA
Q7Z2W7,reviewed,TRPM8_HUMAN,TRPM8
Q9UBE0,reviewed,SAE1_HUMAN,SAE1
P09619,reviewed,PGFRB_HUMAN,PGFRB
Q96L34,reviewed,MARK4_HUMAN,MARK4
Q96HN2,reviewed,SAHH3_HUMAN,SAHH3
P86480,reviewed,PR20D_HUMAN,PR20D
Q8TEA8,reviewed,DTD1_HUMAN,DTD1
Q14749,reviewed,GNMT_HUMAN,GNMT
Q6IPW1,reviewed,CK071_HUMAN,CK071
Q6NVU6,reviewed,UFSP1_HUMAN,UFSP1
Q9H1A4,reviewed,APC1_HUMAN,APC1
Q86XR2,reviewed,NIBA3_HUMAN,NIBA3
Q7Z2W4,reviewed,ZCCHV_HUMAN,ZCCHV
Q7LGA3,reviewed,HS2ST_HUMAN,HS2ST
A0A1W2PR75,reviewed,S72L6_HUMAN,S72L6
Q9Y490,reviewed,TLN1_HUMAN,TLN1
Q9BSK4,reviewed,FEM1A_HUMAN,FEM1A
Q86YH2,reviewed,Z280B_HUMAN,Z280B
Q9NZB8,reviewed,MOCS1_HUMAN,MOCS1
Q8WW36,reviewed,ZCH13_HUMAN,ZCH13
Q9H1A3,reviewed,METL9_HUMAN,METL9
Q2TAA2,reviewed,IAH1_HUMAN,IAH1
P49589,reviewed,SYCC_HUMAN,SYCC
Q03923,reviewed,ZNF85_HUMAN,ZNF85
O14672,reviewed,ADA10_HUMAN,ADA10
Q9BT78,reviewed,CSN4_HUMAN,CSN4
Q9NW15,reviewed,ANO10_HUMAN,ANO10
Q8ND56,reviewed,LS14A_HUMAN,LS14A
Q9Y493,reviewed,ZAN_HUMAN,ZAN
Q9BQN1,reviewed,FA83C_HUMAN,FA83C
O95602,reviewed,RPA1_HUMAN,RPA1
P17509,reviewed,HXB6_HUMAN,HXB6
O00519,reviewed,FAAH1_HUMAN,FAAH1
Q9H0E9,reviewed,BRD8_HUMAN,BRD8
Q9UEU0,reviewed,VTI1B_HUMAN,VTI1B
Q8WW35,reviewed,DYT2B_HUMAN,DYT2B
O00744,reviewed,WN10B_HUMAN,WN10B
Q96PC5,reviewed,MIA2_HUMAN,MIA2
O14994,reviewed,SYN3_HUMAN,SYN3
P49588,reviewed,SYAC_HUMAN,SYAC
Q8N9Z9,reviewed,LMTD1_HUMAN,LMTD1
P16278,reviewed,BGAL_HUMAN,BGAL
Q96LW9,reviewed,ZSC31_HUMAN,ZSC31
P49406,reviewed,RM19_HUMAN,RM19
Q3SYA9,reviewed,P12L1_HUMAN,P12L1
P09917,reviewed,LOX5_HUMAN,LOX5
Q9UHH9,reviewed,IP6K2_HUMAN,IP6K2
Q8WW34,reviewed,TM239_HUMAN,TM239
Q12830,reviewed,BPTF_HUMAN,BPTF
Q96PC2,reviewed,IP6K3_HUMAN,IP6K3
Q86XR5,reviewed,PRIMA_HUMAN,PRIMA
P50458,reviewed,LHX2_HUMAN,LHX2
Q8NC26,reviewed,ZN114_HUMAN,ZN114
P49407,reviewed,ARRB1_HUMAN,ARRB1
Q6PI97,reviewed,HOATZ_HUMAN,HOATZ
Q86UY5,reviewed,FA83A_HUMAN,FA83A
Q9NW13,reviewed,RBM28_HUMAN,RBM28
P15735,reviewed,PHKG2_HUMAN,PHKG2
A8MQ03,reviewed,CRTP1_HUMAN,CRTP1
O95600,reviewed,KLF8_HUMAN,KLF8
Q9BSK1,reviewed,ZN577_HUMAN,ZN577
Q9H0E7,reviewed,UBP44_HUMAN,UBP44
P09914,reviewed,IFIT1_HUMAN,IFIT1
Q2TBF2,reviewed,WSCD2_HUMAN,WSCD2
Q86TN4,reviewed,TRPT1_HUMAN,TRPT1
O00746,reviewed,NDKM_HUMAN,NDKM
Q96PC3,reviewed,AP1S3_HUMAN,AP1S3
Q2TAA5,reviewed,ALG11_HUMAN,ALG11
Q9P1P4,reviewed,TAAR3_HUMAN,TAAR3
Q8N614,reviewed,TM156_HUMAN,TM156
P08138,reviewed,TNR16_HUMAN,TNR16
Q6PI98,reviewed,IN80C_HUMAN,IN80C
Q9BVW5,reviewed,TIPIN_HUMAN,TIPIN
Q86UY6,reviewed,NAA40_HUMAN,NAA40
O60543,reviewed,CIDEA_HUMAN,CIDEA
Q9BSK0,reviewed,MALD1_HUMAN,MALD1
Q6P0A1,reviewed,F180B_HUMAN,F180B
Q5T8D3,reviewed,ACBD5_HUMAN,ACBD5
O75376,reviewed,NCOR1_HUMAN,NCOR1
A6NHQ4,reviewed,EPOP_HUMAN,EPOP
Q8N8U3,reviewed,RTL3_HUMAN,RTL3
Q7LBR1,reviewed,CHM1B_HUMAN,CHM1B
Q12836,reviewed,ZP4_HUMAN,ZP4
Q9Y6X8,reviewed,ZHX2_HUMAN,ZHX2
A1L020,reviewed,MEX3A_HUMAN,MEX3A
Q86XR7,reviewed,TCAM2_HUMAN,TCAM2
Q9P1P5,reviewed,TAAR2_HUMAN,TAAR2
Q9BRK4,reviewed,LZTS2_HUMAN,LZTS2
P49585,reviewed,PCY1A_HUMAN,PCY1A
Q8NC24,reviewed,RELL2_HUMAN,RELL2
Q6P2C8,reviewed,MED27_HUMAN,MED27
Q9BVW6,reviewed,SMIM2_HUMAN,SMIM2
O60542,reviewed,PSPN_HUMAN,PSPN
Q9NWM3,reviewed,CUED1_HUMAN,CUED1
Q8N8U2,reviewed,CDYL2_HUMAN,CDYL2
Q70Z53,reviewed,F10C1_HUMAN,F10C1
Q9NTQ9,reviewed,CXB4_HUMAN,CXB4
Q12837,reviewed,PO4F2_HUMAN,PO4F2
Q9NVU7,reviewed,SDA1_HUMAN,SDA1
Q9Y6X9,reviewed,MORC2_HUMAN,MORC2
A4D2B8,reviewed,PM2P1_HUMAN,PM2P1
Q86XR8,reviewed,CEP57_HUMAN,CEP57
O14990,reviewed,IPP2C_HUMAN,IPP2C
Q9BRK5,reviewed,CAB45_HUMAN,CAB45
Q03924,reviewed,ZN117_HUMAN,ZN117
Q6PJ21,reviewed,SPSB3_HUMAN,SPSB3
Q9P0P0,reviewed,RN181_HUMAN,RN181
Q9Y496,reviewed,KIF3A_HUMAN,KIF3A
Q9BSK2,reviewed,S2533_HUMAN,S2533
Q9H0E2,reviewed,TOLIP_HUMAN,TOLIP
Q9NSB4,reviewed,KRT82_HUMAN,KRT82
Q9BUG6,reviewed,ZSA5A_HUMAN,ZSA5A
Q9NZB2,reviewed,F120A_HUMAN,F120A
Q8WW38,reviewed,FOG2_HUMAN,FOG2
Q12834,reviewed,CDC20_HUMAN,CDC20
Q9C035,reviewed,TRIM5_HUMAN,TRIM5
O00743,reviewed,PPP6_HUMAN,PPP6
Q2TAA8,reviewed,TXIP1_HUMAN,TXIP1
C9J3V5,reviewed,TEX22_HUMAN,TEX22
O14678,reviewed,ABCD4_HUMAN,ABCD4
P50454,reviewed,SERPH_HUMAN,SERPH
Q9UBE8,reviewed,NLK_HUMAN,NLK
Q96RG2,reviewed,PASK_HUMAN,PASK
P61221,reviewed,ABCE1_HUMAN,ABCE1
Q9Y5C1,reviewed,ANGL3_HUMAN,ANGL3
Q8N1F7,reviewed,NUP93_HUMAN,NUP93
Q8NGA6,reviewed,O10H5_HUMAN,O10H5
P11277,reviewed,SPTB1_HUMAN,SPTB1
Q9H0E3,reviewed,SP130_HUMAN,SP130
A7E2Y1,reviewed,MYH7B_HUMAN,MYH7B
Q9BZ95,reviewed,NSD3_HUMAN,NSD3
Q5MNZ9,reviewed,WIPI1_HUMAN,WIPI1
Q8TE56,reviewed,ATS17_HUMAN,ATS17
Q14210,reviewed,LY6D_HUMAN,LY6D
Q9BT73,reviewed,PSMG3_HUMAN,PSMG3
Q86SE8,reviewed,NPM2_HUMAN,NPM2
Q9H4R4,reviewed,CT191_HUMAN,CT191
Q8IUL8,reviewed,CILP2_HUMAN,CILP2
O60547,reviewed,GMDS_HUMAN,GMDS
P11274,reviewed,BCR_HUMAN,BCR
Q9NWM0,reviewed,SMOX_HUMAN,SMOX
Q401N2,reviewed,ZACN_HUMAN,ZACN
Q14746,reviewed,COG2_HUMAN,COG2
Q9NSB2,reviewed,KRT84_HUMAN,KRT84
O14893,reviewed,GEMI2_HUMAN,GEMI2
Q9UP79,reviewed,ATS8_HUMAN,ATS8
Q93045,reviewed,STMN2_HUMAN,STMN2
Q9C037,reviewed,TRIM4_HUMAN,TRIM4
Q9Y6X4,reviewed,F169A_HUMAN,F169A
Q8NFU7,reviewed,TET1_HUMAN,TET1
Q9BRK0,reviewed,REEP2_HUMAN,REEP2
Q9ULY5,reviewed,CLC4E_HUMAN,CLC4E
P08133,reviewed,ANXA6_HUMAN,ANXA6
Q8TE57,reviewed,ATS16_HUMAN,ATS16
Q86SE9,reviewed,PCGF5_HUMAN,PCGF5
Q8NCN2,reviewed,ZBT34_HUMAN,ZBT34
Q71DI3,reviewed,H32_HUMAN,H32
Q8NGA4,reviewed,G32P1_HUMAN,G32P1
Q6ZUB1,reviewed,S31E1_HUMAN,S31E1
O75373,reviewed,ZN737_HUMAN,ZN737
Q03701,reviewed,CEBPZ_HUMAN,CEBPZ
O14894,reviewed,T4S5_HUMAN,T4S5
P48378,reviewed,RFX2_HUMAN,RFX2
Q9HC07,reviewed,TM165_HUMAN,TM165
Q96SW2,reviewed,CRBN_HUMAN,CRBN
Q9Y6X5,reviewed,ENPP4_HUMAN,ENPP4
O43189,reviewed,PHF1_HUMAN,PHF1
P19526,reviewed,FUT1_HUMAN,FUT1
Q8TE54,reviewed,S26A7_HUMAN,S26A7
P61224,reviewed,RAP1B_HUMAN,RAP1B
Q5T619,reviewed,ZN648_HUMAN,ZN648
Q8NGA5,reviewed,O10H4_HUMAN,O10H4
P27037,reviewed,AVR2A_HUMAN,AVR2A
Q6ZUB0,reviewed,S31D4_HUMAN,S31D4
Q7L2Z9,reviewed,CENPQ_HUMAN,CENPQ
A6NNA2,reviewed,SRRM3_HUMAN,SRRM3
Q8NI08,reviewed,NCOA7_HUMAN,NCOA7
Q96QG7,reviewed,MTMR9_HUMAN,MTMR9
P21145,reviewed,MAL_HUMAN,MAL
Q9NVU0,reviewed,RPC5_HUMAN,RPC5
Q9Y6X6,reviewed,MYO16_HUMAN,MYO16
O43186,reviewed,CRX_HUMAN,CRX
Q8NFU5,reviewed,IPMK_HUMAN,IPMK
Q9NV12,reviewed,TM140_HUMAN,TM140
Q96J77,reviewed,TPD55_HUMAN,TPD55
Q8N865,reviewed,SMIP4_HUMAN,SMIP4
Q14213,reviewed,IL27B_HUMAN,IL27B
P61225,reviewed,RAP2B_HUMAN,RAP2B
Q9BT76,reviewed,UPK3B_HUMAN,UPK3B
Q9H857,reviewed,NT5D2_HUMAN,NT5D2
Q7Z6P3,reviewed,RAB44_HUMAN,RAB44
A6NL99,reviewed,AQP73_HUMAN,AQP73
P26717,reviewed,NKG2C_HUMAN,NKG2C
O14896,reviewed,IRF6_HUMAN,IRF6
Q96R48,reviewed,OR2A5_HUMAN,OR2A5
P62736,reviewed,ACTA_HUMAN,ACTA
A6NNA5,reviewed,DRGX_HUMAN,DRGX
Q15572,reviewed,TAF1C_HUMAN,TAF1C
Q2M238,reviewed,RN3P1_HUMAN,RN3P1
Q9C030,reviewed,TRIM6_HUMAN,TRIM6
O43187,reviewed,IRAK2_HUMAN,IRAK2
Q8NFU4,reviewed,FDSCP_HUMAN,FDSCP
Q9BRK3,reviewed,MXRA8_HUMAN,MXRA8
P50453,reviewed,SPB9_HUMAN,SPB9
P56373,reviewed,P2RX3_HUMAN,P2RX3
A6NKH3,reviewed,RL37L_HUMAN,RL37L
Q96M78,reviewed,FEAS2_HUMAN,FEAS2
Q9H2X6,reviewed,HIPK2_HUMAN,HIPK2
Q15573,reviewed,TAF1A_HUMAN,TAF1A
P25325,reviewed,THTM_HUMAN,THTM
C9JA33,unreviewed,C9JA33_HUMAN,C9JA33
Q9Y6X0,reviewed,SETBP_HUMAN,SETBP
O43184,reviewed,ADA12_HUMAN,ADA12
