UniProtId,Label,Gene_Name,hgnc_symbol
Q12846,reviewed,STX4_HUMAN,STX4
Q5VXH4,reviewed,PRAM6_HUMAN,PRAM6
Q7Z553,reviewed,MDGA2_HUMAN,MDGA2
P45379,reviewed,TNNT2_HUMAN,TNNT2
Q9H5I1,reviewed,SUV92_HUMAN,SUV92
Q7Z5Q5,reviewed,DPOLN_HUMAN,DPOLN
Q8NHQ9,reviewed,DDX55_HUMAN,DDX55
Q92670,reviewed,ZN75C_HUMAN,ZN75C
Q9UIW2,reviewed,PLXA1_HUMAN,PLXA1
O60716,reviewed,CTND1_HUMAN,CTND1
Q96HE9,reviewed,PRR11_HUMAN,PRR11
P32239,reviewed,GASR_HUMAN,GASR
Q2TBA0,reviewed,KLH40_HUMAN,KLH40
Q6ZRV2,reviewed,FA83H_HUMAN,FA83H
P14555,reviewed,PA2GA_HUMAN,PA2GA
Q9GZV5,reviewed,WWTR1_HUMAN,WWTR1
Q9BZD4,reviewed,NUF2_HUMAN,NUF2
Q8NHQ8,reviewed,RASF8_HUMAN,RASF8
A0A5K1VDZ0,unreviewed,A0A5K1VDZ0_HUMAN,A0A5K1VDZ0
O43676,reviewed,NDUB3_HUMAN,NDUB3
Q5H9I0,reviewed,TFDP3_HUMAN,TFDP3
P32238,reviewed,CCKAR_HUMAN,CCKAR
Q6PDA7,reviewed,SG11A_HUMAN,SG11A
Q6ZRV3,reviewed,CC074_HUMAN,CC074
Q9UHG3,reviewed,PCYOX_HUMAN,PCYOX
Q9BZD7,reviewed,TMG3_HUMAN,TMG3
Q2VPK5,reviewed,CTU2_HUMAN,CTU2
Q8N743,reviewed,KI3L3_HUMAN,KI3L3
Q9UBX8,reviewed,B4GT6_HUMAN,B4GT6
Q8N668,reviewed,COMD1_HUMAN,COMD1
P67936,reviewed,TPM4_HUMAN,TPM4
Q9UIW0,reviewed,VAX2_HUMAN,VAX2
Q8NCS4,reviewed,TM35B_HUMAN,TM35B
P21953,reviewed,ODBB_HUMAN,ODBB
Q9BQE9,reviewed,BCL7B_HUMAN,BCL7B
O43677,reviewed,NDUC1_HUMAN,NDUC1
Q6NXP6,reviewed,NXRD1_HUMAN,NXRD1
P31371,reviewed,FGF9_HUMAN,FGF9
Q9GZV7,reviewed,HPLN2_HUMAN,HPLN2
Q9UHG2,reviewed,PCS1N_HUMAN,PCS1N
Q9BZD6,reviewed,TMG4_HUMAN,TMG4
Q9NVZ3,reviewed,NECP2_HUMAN,NECP2
Q9Y6C5,reviewed,PTC2_HUMAN,PTC2
A0A2R8YEV3,unreviewed,A0A2R8YEV3_HUMAN,A0A2R8YEV3
Q92597,reviewed,NDRG1_HUMAN,NDRG1
O94844,reviewed,RHBT1_HUMAN,RHBT1
P17098,reviewed,ZNF8_HUMAN,ZNF8
Q92673,reviewed,SORL_HUMAN,SORL
M0R2J8,reviewed,DCDC1_HUMAN,DCDC1
O43670,reviewed,ZN207_HUMAN,ZN207
Q6UWF9,reviewed,F180A_HUMAN,F180A
O60711,reviewed,LPXN_HUMAN,LPXN
P42704,reviewed,LPPRC_HUMAN,LPPRC
P13726,reviewed,TF_HUMAN,TF
Q9GZV8,reviewed,PRD14_HUMAN,PRD14
Q9H5I5,reviewed,PIEZ2_HUMAN,PIEZ2
Q7Z5Q1,reviewed,CPEB2_HUMAN,CPEB2
Q6ZWH5,reviewed,NEK10_HUMAN,NEK10
Q6ZP68,reviewed,ATPUN_HUMAN,ATPUN
P13727,reviewed,PRG2_HUMAN,PRG2
A6NNZ2,reviewed,TBB8B_HUMAN,TBB8B
Q9GZV9,reviewed,FGF23_HUMAN,FGF23
Q9UHG0,reviewed,DCDC2_HUMAN,DCDC2
Q12849,reviewed,GRSF1_HUMAN,GRSF1
Q9Y6C7,reviewed,L3R2A_HUMAN,L3R2A
Q58EX7,reviewed,PKHG4_HUMAN,PKHG4
Q969H0,reviewed,FBXW7_HUMAN,FBXW7
Q6E0U4,reviewed,DMKN_HUMAN,DMKN
O94842,reviewed,TOX4_HUMAN,TOX4
M5A8F1,reviewed,SUPYN_HUMAN,SUPYN
P61254,reviewed,RL26_HUMAN,RL26
O60637,reviewed,TSN3_HUMAN,TSN3
Q8NCS7,reviewed,CTL5_HUMAN,CTL5
Q5MJ08,reviewed,SPXN4_HUMAN,SPXN4
P42702,reviewed,LIFR_HUMAN,LIFR
P27930,reviewed,IL1R2_HUMAN,IL1R2
A0A1B0GVV1,reviewed,SIM35_HUMAN,SIM35
P0C7U3,reviewed,ZH11B_HUMAN,ZH11B
O60636,reviewed,TSN2_HUMAN,TSN2
Q92828,reviewed,COR2A_HUMAN,COR2A
M0QZC1,reviewed,RN225_HUMAN,RN225
Q495T6,reviewed,MMEL1_HUMAN,MMEL1
Q5MJ09,reviewed,SPXN3_HUMAN,SPXN3
P13725,reviewed,ONCM_HUMAN,ONCM
Q5VWI1,reviewed,TCRGL_HUMAN,TCRGL
O43175,reviewed,SERA_HUMAN,SERA
Q969H6,reviewed,POP5_HUMAN,POP5
