drug_id,partner_id,gene_name,inhibitor,antagonist,agonist
DB00106,BE0000203,GNRHR,0,1,0
DB00107,BE0000844,OXTR,0,0,1
DB00107,BE0000751,OXT,0,0,0
DB00108,BE0000590,ITGA4,0,0,0
DB00108,BE0000901,FCGR3B,0,0,0
DB00108,BE0002093,C1R,0,0,0
DB00108,BE0002094,C1QA,0,0,0
DB00108,BE0002095,C1QB,0,0,0
DB00108,BE0002096,C1QC,0,0,0
DB00108,BE0002097,FCGR3A,0,0,0
DB00108,BE0000710,FCGR1A,0,0,0
DB00108,BE0002098,FCGR2A,0,0,0
DB00108,BE0002099,FCGR2B,0,0,0
DB00108,BE0002100,FCGR2C,0,0,0
DB00108,BE0001085,ICAM1,0,0,0
DB00110,BE0000901,FCGR3B,0,0,0
DB00110,BE0002093,C1R,0,0,0
DB00110,BE0002094,C1QA,0,0,0
DB00110,BE0002095,C1QB,0,0,0
DB00110,BE0002096,C1QC,0,0,0
DB00110,BE0002097,FCGR3A,0,0,0
DB00110,BE0000710,FCGR1A,0,0,0
DB00110,BE0002098,FCGR2A,0,0,0
DB00110,BE0002099,FCGR2B,0,0,0
DB00110,BE0002100,FCGR2C,0,0,0
DB00111,BE0000658,IL2RA,0,0,0
DB00111,BE0000651,IL2RB,0,0,0
DB00111,BE0000901,FCGR3B,0,0,0
DB00111,BE0002093,C1R,0,0,0
DB00111,BE0002094,C1QA,0,0,0
DB00111,BE0002095,C1QB,0,0,0
DB00111,BE0002096,C1QC,0,0,0
DB00111,BE0002097,FCGR3A,0,0,0
DB00111,BE0000710,FCGR1A,0,0,0
DB00111,BE0002098,FCGR2A,0,0,0
DB00111,BE0002099,FCGR2B,0,0,0
DB00111,BE0002100,FCGR2C,0,0,0
DB00112,BE0000163,VEGFA,0,0,0
DB00112,BE0000901,FCGR3B,0,0,0
DB00112,BE0002093,C1R,0,0,0
DB00112,BE0002094,C1QA,0,0,0
DB00112,BE0002095,C1QB,0,0,0
DB00112,BE0002096,C1QC,0,0,0
DB00112,BE0002097,FCGR3A,0,0,0
DB00112,BE0000710,FCGR1A,0,0,0
DB00112,BE0002098,FCGR2A,0,0,0
DB00112,BE0002099,FCGR2B,0,0,0
DB00112,BE0002100,FCGR2C,0,0,0
DB00113,BE0000107,CEACAM1,0,0,0
DB00114,BE0000102,AGXT2,0,0,0
DB00114,BE0000378,GAD1,0,0,0
DB00114,BE0000323,CBS,0,0,0
DB00114,BE0000392,KYNU,0,0,0
DB00114,BE0000331,SHMT1,0,0,0
DB00114,BE0000151,NFS1,0,0,0
DB00114,BE0000529,GOT1,0,0,0
DB00114,BE0000424,OAT,0,0,0
DB00114,BE0000404,ODC1,0,0,0
DB00114,BE0000727,AADAT,0,0,0
DB00114,BE0000253,ABAT,1,0,0
DB00114,BE0000181,PNPO,0,0,0
DB00114,BE0000778,SGPL1,0,0,0
DB00114,BE0000692,TAT,0,0,0
DB00114,BE0000273,CCBL1,0,0,0
DB00114,BE0000482,THNSL1,0,0,0
DB00114,BE0000007,PYGL,0,0,0
DB00114,BE0000660,SPTLC2,0,0,0
DB00114,BE0000079,CSAD,0,0,0
DB00114,BE0000002,HDC,0,0,0
DB00114,BE0000448,AZIN2,0,0,0
DB00114,BE0000164,SDS,0,0,0
DB00114,BE0000518,GCAT,0,0,0
DB00114,BE0000618,GLDC,0,0,0
DB00114,BE0000667,GPT,0,0,0
DB00114,BE0000603,PSAT1,0,0,0
DB00114,BE0000409,ALAS1,0,0,0
DB00114,BE0000316,AGXT,0,0,0
DB00114,BE0000278,PDXP,0,0,0
DB00114,BE0000441,SPTLC1,0,0,0
DB00114,BE0000791,CTH,0,0,0
DB00114,BE0000517,BCAT1,0,0,0
DB00114,BE0000721,BCAT2,0,0,0
DB00114,BE0002149,PROSC,0,0,0
DB00114,BE0000822,FTCD,0,0,0
DB00114,BE0000383,GOT2,0,0,0
DB00114,BE0002150,PYGB,0,0,0
DB00114,BE0000916,PYGM,0,0,0
DB00114,BE0002151,DDC,0,0,0
DB00114,BE0002152,GIG18,0,0,0
DB00114,BE0002158,ALAS1,0,0,0
DB00114,BE0002159,GAD2,0,0,0
DB00114,BE0002160,DDC,0,0,0
DB00114,BE0002161,PDXDC1,0,0,0
DB00114,BE0002162,CCBL2,0,0,0
DB00114,BE0002163,GADL1,0,0,0
DB00114,BE0004605,SCLY,0,0,0
DB00114,BE0004612,IGSF10,0,0,0
DB00114,BE0002164,PHYKPL,0,0,0
DB00114,BE0002165,GAD1,0,0,0
DB00114,BE0000292,SHMT2,0,0,0
DB00114,BE0000898,ALAS2,0,0,0
DB00114,BE0002166,GPT2,0,0,0
DB00114,BE0002167,MOCOS,0,0,0
DB00114,BE0002168,SDSL,0,0,0
DB00114,BE0000388,SRR,0,0,0
DB00114,BE0002171,SEPSECS,0,0,0
DB00114,BE0002172,SPTLC3,0,0,0
DB00114,BE0002173,GAD65,0,0,0
DB00114,BE0002174,TLH6,0,0,0
DB00115,BE0000734,MTR,0,0,0
DB00115,BE0000777,MUT,0,0,0
DB00115,BE0000763,MTRR,0,0,0
DB00115,BE0000320,MMAA,0,0,0
DB00115,BE0002175,MMACHC,0,0,0
DB00115,BE0002176,MTHFR,0,0,0
DB00116,BE0000617,MTHFD1,0,0,0
DB00116,BE0000268,MTHFD2,0,0,0
DB00116,BE0000010,AMT,0,0,0
DB00116,BE0000933,ALDH1L1,0,0,0
DB00116,BE0000734,MTR,0,0,0
DB00116,BE0000822,FTCD,0,0,0
DB00116,BE0001240,ATIC,0,0,0
DB00116,BE0000331,SHMT1,0,0,0
DB00116,BE0000292,SHMT2,0,0,0
DB00116,BE0002176,MTHFR,0,0,0
DB00116,BE0002177,MTFMT,0,0,0
DB00117,BE0000002,HDC,0,0,0
DB00117,BE0000740,HARS,0,0,0
DB00117,BE0000285,SLC38A3,0,0,0
DB00117,BE0000086,HAL,0,0,0
DB00118,BE0000372,GNMT,0,0,0
DB00118,BE0000101,AMD1,0,0,0
DB00118,BE0000304,MAT2A,0,0,0
DB00118,BE0000323,CBS,0,0,0
DB00118,BE0000407,MAT1A,0,0,0
DB00118,BE0002089,COMT,0,0,0
DB00118,BE0008997,CMTR1,0,0,0
DB00118,BE0005015,AS3MT,0,0,0
DB00119,BE0000449,SLC16A3,0,0,0
DB00119,BE0000178,SLC16A2,0,0,0
DB00119,BE0000102,AGXT2,0,0,0
DB00119,BE0000386,SLC16A5,0,0,0
DB00119,BE0000046,PKLR,0,0,0
DB00119,BE0000174,SLC16A6,0,0,0
DB00119,BE0000440,SLC16A7,0,0,0
DB00119,BE0000098,PDHB,0,0,0
DB00119,BE0000088,PKM,0,0,0
DB00119,BE0000253,ABAT,1,0,0
DB00119,BE0000195,SLC16A4,0,0,0
DB00119,BE0000361,SLC16A8,0,0,0
DB00119,BE0000669,SLC16A1,0,0,0
DB00119,BE0000698,PC,0,0,0
DB00120,BE0000692,TAT,0,0,0
DB00120,BE0000789,SLC7A8,0,0,0
DB00120,BE0000038,FARSA,0,0,0
DB00120,BE0000753,PAH,0,0,0
DB00120,BE0000028,FARS2,0,0,0
DB00120,BE0000561,FARSB,0,0,0
DB00120,BE0000614,TH,0,0,0
DB00121,BE0000544,PCCB,0,0,0
DB00121,BE0000159,HLCS,0,0,0
DB00121,BE0000094,SLC5A6,0,0,0
DB00121,BE0000072,MCCC2,0,0,0
DB00121,BE0000702,ACACB,0,0,0
DB00121,BE0000445,MCCC1,0,0,0
DB00121,BE0000698,PC,0,0,0
DB00121,BE0000492,PCCA,0,0,0
DB00121,BE0000626,ACACA,0,0,0
DB00122,BE0000494,PCYT1B,0,0,0
DB00122,BE0000426,ACHE,0,0,0
DB00122,BE0000615,PCYT1A,0,0,0
DB00122,BE0002179,PLD2,0,0,0
DB00122,BE0002180,BCHE,0,0,0
DB00122,BE0002181,PLD1,0,0,0
DB00122,BE0002186,PHOSPHO1,0,0,0
DB00122,BE0002341,CHRNA7,0,0,0
DB00123,BE0000212,SLC7A1,0,0,0
DB00123,BE0000052,SLC7A4,0,0,0
DB00123,BE0000136,SLC7A3,0,0,0
DB00123,BE0000562,SLC7A2,0,0,0
DB00123,BE0000198,KARS,0,0,0
DB00125,BE0000263,NOS3,0,0,0
DB00125,BE0000136,SLC7A3,0,0,0
DB00125,BE0000448,AZIN2,0,0,0
DB00125,BE0000520,ASL,0,0,0
DB00125,BE0000005,NOS2,0,0,0
DB00125,BE0000212,SLC7A1,0,0,0
DB00125,BE0000758,ARG2,0,0,0
DB00125,BE0000052,SLC7A4,0,0,0
DB00125,BE0000671,ASS1,0,0,0
DB00126,BE0004338,LCT,0,0,0
DB00126,BE0002192,PLOD2,0,0,0
DB00126,BE0002117,PHYH,0,0,0
DB00126,BE0002195,PLOD3,0,0,0
DB00126,BE0002197,BBOX1,0,0,0
DB00126,BE0000138,DBH,0,0,0
DB00126,BE0002200,PAM,0,0,0
DB00126,BE0000060,P4HA1,0,0,0
DB00126,BE0002202,P3H1,0,0,0
DB00126,BE0002203,OGFOD2,0,0,0
DB00126,BE0002205,ALKBH2,0,0,0
DB00126,BE0002206,P3H2,0,0,0
DB00126,BE0002208,P3H3,0,0,0
DB00126,BE0002210,OGFOD1,0,0,0
DB00126,BE0002211,EGLN2,0,0,0
DB00126,BE0002213,ALKBH3,0,0,0
DB00126,BE0002215,KDM5D,0,0,0
DB00126,BE0002217,EGLN1,0,0,0
DB00126,BE0000168,SLC23A1,0,0,0
DB00126,BE0000087,PLOD1,0,0,0
DB00126,BE0002219,EGLN3,0,0,0
DB00126,BE0002221,TMLHE,0,0,0
DB00126,BE0002223,P4HTM,0,0,0
DB00127,BE0000964,SMS,0,0,0
DB00127,BE0000566,SMOX,0,0,0
DB00127,BE0000404,ODC1,0,0,0
DB00127,BE0000509,CASR,0,0,0
DB00127,BE0000172,ADRB1,0,0,0
DB00127,BE0000694,ADRB2,0,0,0
DB00128,BE0003317,RNASE1,0,0,0
DB00128,BE0003751,LYZ,0,0,0
DB00128,BE0000277,SLC25A13,0,0,0
DB00128,BE0000529,GOT1,0,0,0
DB00128,BE0000187,ASPA,0,0,0
DB00128,BE0000219,ASNS,0,0,0
DB00128,BE0000671,ASS1,0,0,0
DB00128,BE0000481,ACY1,0,0,0
DB00128,BE0000383,GOT2,0,0,0
DB00128,BE0000725,DARS,0,0,0
DB00128,BE0000235,SLC25A12,0,0,0
DB00128,BE0000528,ASPH,0,0,0
DB00128,BE0002225,PAICS,0,0,0
DB00128,BE0002227,CAD,0,0,0
DB00128,BE0002228,ADSS,0,0,0
DB00128,BE0001054,SLC1A1,0,0,0
DB00128,BE0002152,GIG18,0,0,0
DB00128,BE0000788,ASS,0,0,0
DB00128,BE0002229,DARS2,0,0,0
DB00128,BE0002230,ASRGL1,0,0,0
DB00128,BE0002231,ADSSL1,0,0,0
DB00128,BE0002232,ACY3,0,0,0
