InchiKey,Canonical_SMILES
QGYGTMZEJNOHNU-UHFFFAOYSA-N,CN(C1=CC=C(C=C1)Cl)C2=CC=[N+](C3=CC=CC=C32)CC4=CC=C(C=C4)C5=CC=C(C=C5)C[N+]6=CC=C(C7=CC=CC=C76)N(C)C8=CC=C(C=C8)Cl
JQXXHWHPUNPDRT-WLSIYKJHSA-N,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
MJJALKDDGIKVBE-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4
QHMWCHQXCUNUAK-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=CC=C3F)N4C=CN=C4
HJYYPODYNSCCOU-SKSZWDJVSA-N,C[C@H]1/C=C/C=C(C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
HJYYPODYNSCCOU-ODRIEIDWSA-N,C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C
JEGGQYICWGMXOZ-GMPMKFSHSA-N,CC1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(O/C=C/C(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N=C/N5CCCCC5)/C
VEZJRJGLFIXQHG-UHFFFAOYSA-N,C1=CC=C2C(=C1)NC(=N2)C3=NC4=CC=CC=C4N3
ROWSTIYZUWEOMM-UHFFFAOYSA-N,CN(C)CCNC1=NC2=C(C=CC(=C2)O)C3=C1C(=O)C4=CC=CC=C43
WDZCUPBHRAEYDL-GZAUEHORSA-N,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C6CCCC6)/C
BUXNKFNNJJTLOS-UHFFFAOYSA-N,CCCCOC(=O)CS(=O)C1=NC2=C(S1)N=CC=C2
CJILPKIVYILOEF-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)[P+](CCCCl)(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)N(C)C
QAWIHIJWNYOLBE-OKKQSCSOSA-N,C1[C@H](ON=C1Cl)[C@@H](C(=O)O)N
QAWIHIJWNYOLBE-UHFFFAOYSA-N,C1C(ON=C1Cl)C(C(=O)O)N
WXJFKKQWPMNTIM-VWLOTQADSA-N,CCCCCCCCCCCCCCCCOCCCOP(=O)(CO[C@@H](CN1C=CC(=NC1=O)N)CO)O
WXUUCRLKXQMWRY-UHFFFAOYSA-N,C1CC2COCC1N2C3=NC(=NC(=N3)N4CCOCC4)C5=CC=C(C=C5)NC(=O)NC6=CC=NC=C6
CNVPBZZBCDUDPL-NSHDSACASA-N,C[C@@H](C1=NC=C(C=C1)F)NC2=NC(=C(C=C2C#N)F)NC3=CC(=NN3)OC(C)C
XSIOKTWDEOJMGG-UHFFFAOYSA-O,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC
XDXDZDZNSLXDNA-TZNDIEGXSA-N,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
XDRYMKDFEDOLFX-UHFFFAOYSA-N,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
CFCUWKMKBJTWLW-OQCYXQHVSA-N,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
CFCUWKMKBJTWLW-BKHRDMLASA-N,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
IFFPICMESYHZPQ-UHFFFAOYSA-N,CC(CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
KIVUHCNVDWYUNP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=C2C=C(C4=CC=CC=C34)N
RANJJVIMTOIWIN-UHFFFAOYSA-N,CC(C)C(=O)NC1=CC=C(C=C1)C2=C(C3=C(S2)N(C=C(C3=O)C(=O)OC(C)C)CC4=C(C=CC=C4F)F)CN(C)CC5=CC=CC=C5
USZYSDMBJDPRIF-IBTSQXAUSA-N,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O[C@H]5CC([C@@H](C(O5)C)O[C@H]6CC([C@@H](C(O6)C)O[C@H]7CCC(=O)C(O7)C)O)N(C)C)O
USZYSDMBJDPRIF-SVEJIMAYSA-N,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@@H]([C@@H](O6)C)O[C@H]7CCC(=O)[C@@H](O7)C)O)N(C)C)O
PDOQBOJDRPLBQU-QMMMGPOBSA-N,CC1=CC(=NN1)NC2=NC(=NC=C2Cl)N[C@@H](C)C3=NC=C(C=N3)F
OHUHVTCQTUDPIJ-JYCIKRDWSA-N,C[C@@H]1COCCN1C2=NC(=NC(=C2)C3(CC3)[S@](=N)(=O)C)C4=C5C=CNC5=NC=C4
OHUHVTCQTUDPIJ-RNHBAAACSA-N,C[C@@H]1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=N)(=O)C)C4=C5C=CNC5=NC=C4
AILRADAXUVEEIR-UHFFFAOYSA-N,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC
NNBGCSGCRSCFEA-UHFFFAOYSA-N,COCCN1CCC(CC1)N(CC2=CC=C(C=C2)C3=CC=C(C=C3)C(F)(F)F)C(=O)CN4C5=CC=CC=C5C(=O)C=C4SCC6=C(C(=CC=C6)F)F
MPMZSZMDCRPSRF-UHFFFAOYSA-N,CC1=NN=C2N1C3=C(C=C(S3)C#CCN4C5=CC=CC=C5C6=CC=CC=C6C4=O)C(=NC2)C7=CC=CC=C7Cl
RXBWRFDZXRAEJT-SZNOJMITSA-N,CC(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](CN2CC[C@H](C[C@H]2C(=O)NC(C)(C)C)OCC3=CC=NC=C3)O)NC(=O)C4=NC5=CC=CC=C5C=C4
WQUZPRFCWILZJO-AREMUKBSSA-N,C1COC2=C1C=C(C=C2)[C@@H]3C4=C(CN3C5=NC=C(C=N5)C6=CC=CC=N6)C(=O)C7=CC=CC=C7N4
VGIQUSQBXZXBGW-UHFFFAOYSA-N,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C=C(C(=O)N=C3SCC4=CC=C(C=C4)F)CC5=CN(N=C5)C
