| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  85  |                                                 [1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester                                                |    NLRP3    |     12.88     |
|  86  |                           19-(cyclopropylamino)-4,6,7,15-tetrahydro-5H-16,1-(azenometheno)-10,14-(metheno)pyrazolo[4,3-o][1,3,9]triazacyclohexadecin-8(9H)-one                          |    NLRP3    |     12.87     |
|  87  |                                                                                        Valspodar                                                                                        |    NLRP3    |     12.87     |
|  88  |                                                     N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide                                                     |     ZBP1    |     12.86     |
|  89  |                                                   4-(2-chlorophenyl)-8-(2-hydroxyethyl)-6-methylpyrrolo[3,4-e]indole-1,3(2H,6H)-dione                                                   |    NLRP3    |     12.86     |
|  90  |                                                                                       Fluphenazine                                                                                      |    NLRP3    |     12.85     |
|  91  |                                                   N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine                                                   |    NLRP3    |     12.85     |
|  92  |                                                                                        Lonafarnib                                                                                       |    NLRP3    |     12.85     |
|  93  |                               N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(MORPHOLIN-4-YLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE                               |    NLRP3    |     12.85     |
|  94  |                                                     N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide                                                     |    NLRP3    |     12.85     |
|  95  |                                                           3-[4-AMINO-1-(1-METHYLETHYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL]PHENOL                                                          |    NLRP3    |     12.84     |
|  96  |                                                                       2-deoxy-2,3-dehydro-N-acetylneuraminic acid                                                                       |    NLRP3    |     12.83     |
|  97  |                                    2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide                                   |    NLRP3    |     12.83     |
|  98  |                                                          1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine                                                          |    NLRP3    |     12.83     |
|  99  |                                                  2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE                                                 |    NLRP3    |     12.83     |
| 100  |                                                          4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol                                                         |     ZBP1    |     12.83     |
| 101  |                                                          4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol                                                         |    NLRP3    |     12.83     |
| 102  |                                                 4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE                                                 |    NLRP3    |     12.83     |
| 103  |                                                   4-(2-chlorophenyl)-8-(2-hydroxyethyl)-6-methylpyrrolo[3,4-e]indole-1,3(2H,6H)-dione                                                   |     ZBP1    |     12.82     |
